,easting,northing,timestamp,node_id
0,727749.8247655529,4631587.056269753,2013-03-26 20:54:44,-1
1,727744.8260648372,4631599.042711489,0,23
2,727737.9335099878,4631615.610326653,0,24
3,727646.6108911196,4631831.1265771575,0,43
4,727638.0164255928,4631897.733302619,2013-03-26 20:55:50,-1
5,727716.8329913719,4631974.87708015,0,60
6,727732.5353298681,4631991.826355498,0,62
7,727767.0900048222,4632120.836734956,0,73
8,727815.8044348685,4632124.043413933,0,74
9,727849.4129105425,4632132.246565968,0,80
10,727898.7724217513,4632107.699329791,2013-03-26 20:57:04,-1
11,727935.2773578018,4632065.074309647,0,65
12,728006.1047585672,4632127.180763112,0,77
13,728011.8029704532,4632132.210679295,0,79
14,728021.4737335388,4632140.120369079,0,83
15,728029.9306194584,4632147.409715453,2013-03-26 20:58:11,-1
16,728061.8809991395,4632175.5618629195,0,85
17,728114.3337081606,4632220.137771262,0,90
18,728147.1224198313,4632273.190092048,0,96
19,728160.1627588933,4632311.905502785,0,101
20,728166.0843970552,4632324.84418565,0,104
21,728173.5714864082,4632335.535259152,2013-03-26 20:59:13,-1
22,728179.1365034617,4632341.6973149255,0,105
23,728203.160662692,4632359.313082784,0,107
24,728271.3171141269,4632387.09313562,0,108
25,728284.0522817203,4632398.608678111,2013-03-26 21:00:18,-1
26,728330.465525033,4632480.753269473,0,114
27,728380.6059180144,4632487.69534809,0,116
28,728457.8832124146,4632511.287469884,2013-03-26 21:01:15,-1
29,728457.8832124146,4632511.287469884,0,118
30,728444.1319174189,4632530.410080707,0,119
31,728384.4201326584,4632590.299336024,0,123
32,728240.6765748365,4632726.974268274,0,128
33,728240.0166194066,4632727.677658364,0,129
34,728101.5996920392,4632907.706479413,0,141
35,728101.0273844395,4632908.687724283,0,142
36,728065.4630253654,4632984.056471477,2013-03-26 21:02:19,-1
37,728034.1653009793,4633079.28249721,0,150
38,728014.6482978612,4633143.571924036,0,158
39,727995.8607604466,4633148.640090805,0,159
40,727893.8094297154,4633118.257010952,0,157
41,727847.7011662098,4633100.33677442,0,152
42,727847.7011662098,4633100.33677442,2013-03-26 21:03:20,-1
43,727847.7011662098,4633100.33677442,0,152
44,727804.9283113144,4633081.626943026,0,151
45,727884.8839327889,4632913.561497867,0,143
46,727900.3166310387,4632886.1971401535,2013-03-26 21:04:19,-1
47,727979.231412272,4632802.644758685,0,136
48,728032.71061219,4632760.671161955,0,131
49,728083.8818491572,4632719.00901452,2013-03-26 21:05:30,-1
50,728094.3459866298,4632708.548969656,0,127
51,728126.2493309984,4632677.56376115,0,126
52,728240.6765748365,4632726.974268274,0,128
53,728280.5702219184,4632684.859193467,2013-03-26 21:06:44,-1
54,728384.4201326584,4632590.299336024,0,123
55,728444.1319174189,4632530.410080707,0,119
56,728457.8832124146,4632511.287469884,0,118
57,728380.6059180144,4632487.69534809,0,116
58,728330.465525033,4632480.753269473,0,114
59,728271.3171141269,4632387.09313562,0,108
60,728271.3171141269,4632387.09313562,2013-03-26 21:07:49,-1
61,728271.3171141269,4632387.09313562,0,108
62,728203.160662692,4632359.313082784,0,107
63,728179.1365034617,4632341.6973149255,0,105
64,728166.0843970552,4632324.84418565,0,104
65,728160.1627588933,4632311.905502785,0,101
66,728147.1224198313,4632273.190092048,0,96
67,728114.3337081606,4632220.137771262,0,90
68,728061.8809991395,4632175.5618629195,0,85
69,728025.4256560365,4632143.3526449185,2013-03-26 21:08:55,-1
70,728021.4737335388,4632140.120369079,0,83
71,728011.8029704532,4632132.210679295,0,79
72,728006.1047585672,4632127.180763112,0,77
73,727935.2773578018,4632065.074309647,0,65
74,728005.7003876325,4631983.94122803,0,61
75,728038.2483429199,4631946.4619719,2013-03-26 21:10:06,-1
76,728040.728517388,4631943.606029237,0,55
77,728061.1899190244,4631920.094775596,2013-03-26 21:11:16,-1
78,728067.4618237438,4631912.907846492,0,54
79,728070.4692057241,4631909.46419039,0,53
80,728081.5337174479,4631896.7946159765,0,51
81,728095.4574558064,4631880.862325015,0,48
82,728159.8854957323,4631807.180455126,2013-03-26 21:12:17,-1
83,728171.3061258662,4631794.180820486,0,40
84,728119.1858354583,4631747.949240912,0,38
85,728029.4367409274,4631668.629349686,0,28
86,728028.8800985152,4631668.137400655,0,27
87,727981.5276204003,4631518.124125179,0,14
88,727977.5889129573,4631422.740378108,0,12
89,727993.0366806713,4631374.374551999,2013-03-26 21:13:33,-1
90,728022.6800876791,4631276.570257835,0,8
91,728025.9088060167,4631216.963775944,0,6
92,727971.2397848051,4631165.8859306965,0,3
93,727991.5890208408,4631124.190033719,0,4
94,727996.6890606793,4631113.739973773,2013-03-26 21:14:34,-1
95,727991.5890208408,4631124.190033719,0,4
96,727971.2397848051,4631165.8859306965,0,3
97,728008.4186123733,4631183.229394557,2013-03-26 21:15:39,-1
98,728025.9088060167,4631216.963775944,0,6
99,728022.6800876791,4631276.570257835,0,8
100,727977.5889129573,4631422.740378108,0,12
101,727981.5276204003,4631518.124125179,0,14
102,727853.3788724728,4631491.297400282,2013-03-26 21:16:41,-1
103,727845.1239324361,4631492.314807823,0,15
104,727744.8260648372,4631599.042711489,0,23
105,727696.4856245816,4631555.373154681,0,21
106,727685.0132996468,4631526.552047027,0,20
107,727689.7435908802,4631522.407143207,0,18
108,727803.7927634404,4631359.123506251,2013-03-26 21:17:42,-1
109,727745.64308949,4631294.622136246,0,16
110,727680.5744639293,4631347.65482721,2013-03-26 21:18:42,-1
111,727632.9573643468,4631521.111998737,0,17
112,727679.4995746986,4631529.185157236,2013-03-26 21:19:47,-1
113,727685.0132996468,4631526.552047027,0,20
114,727696.4856245816,4631555.373154681,0,21
115,727740.2578118375,4631598.561232772,2013-03-26 21:20:47,-1
