,road_id,length
0,140,303.87611738201383
1,140.0,11.80864337549832
2,139.0,201.79469608351798
3,139,16.649194164275258
4,139.0,185.14550191924272
5,161.0,38.28189405024402
6,161,304.6147975884696
7,161.0,21.779260741457676
8,162,129.37346500762982
9,156.0,42.171724118002544
10,156,238.1711136790766
11,156.0,55.40607750285198
12,144.0,50.88470391938922
13,144,0.0
14,144.0,32.96426004494557
15,157.0,82.92736426412267
16,157,272.26586126437155
17,157,0.0
18,157.0,28.72954415754283
19,162,129.37346500762982
20,162.0,0.0
21,162.0,0.0
22,161,364.67595238017134
23,140.0,17.63314809739086
24,140,361.68436106690496
25,140.0,71.91365805870731
26,117.0,90.71610781994025
27,117.0,30.713743108895493
28,115.0,141.91111129521647
29,115,242.47238755314487
30,115.0,0.0
31,82,6.636910214549704
32,78,1.440745000021832
33,76,1.531129062144967
34,74,23.88149057056306
35,70.0,34.66780748742909
36,70.0,71.83056231900085
37,71,16.100846795787465
38,68.0,51.13347656394819
39,68.0,51.13347656394819
40,71,16.100846795787465
41,91.0,97.07167774981804
42,91,147.7399312597123
43,91.0,9.418927104998971
44,92,136.46365356825854
45,73,49.78216954375027
46,73.0,0.0
47,73.0,0.0
48,80,35.008891151299714
49,81.0,58.97729238943679
50,81.0,54.747395971953715
51,65,107.43361198195589
52,60.0,31.843098783909827
53,60.0,21.578789388313407
54,55.0,40.30424907760239
55,55.0,0.40263568621887236
56,54,4.571992314594792
57,53,16.820866074741254
58,50,21.159120614380072
59,47,115.18124893532033
60,40.0,0.7519858209358858
61,40,62.84059033322936
62,40.0,17.737452579004835
63,35,38.66906066267094
64,29,53.29381049579379
65,26.0,41.03395249768876
66,26.0,9.965859737792226
67,31.0,62.00255300967805
68,31.0,67.1931306468143
69,32,5.198839598570602
70,38,84.73285618437065
71,42.0,56.25431707678888
72,42.0,28.86629403329823
73,45.0,34.7905594400999
74,45,0.0
75,45,0.0
76,45.0,13.147683862361433
77,51,71.84029904808705
78,52.0,102.56693381271594
79,52.0,43.196460588424884
80,48.0,101.17811100037471
81,48,0.0
82,48,0.0
83,48.0,17.549053259061374
84,49,48.4851815400175
85,44,117.846726797932
86,36.0,4.592622573869271
87,36,0.0
88,36.0,26.04966288026489
89,33,156.8716466632031
90,22.0,42.93822921001312
91,22,0.0
92,22,0.0
93,22,0.0
94,22,0.0
95,22.0,32.45197750398464
96,18,20.087352318222923
97,13.0,120.43165948710397
98,13,0.0
99,13.0,38.084706619487335
100,11,5.045722314182898
101,10,34.549815393744986
102,8.0,68.0792927376798
103,8.0,56.85438887275956
104,6,186.70641844998602
105,1.0,43.16250766241947
106,1,0.0
107,1.0,3.4558769443227675
108,0,106.6411599022419
109,9.0,89.41245655949328
110,9,0.0
111,9,265.90579790385414
112,9,0.0
113,9,0.0
114,9.0,11.392621847751741
115,10.0,34.549815393744986
116,10.0,0.0
117,11,5.045722314182898
118,13,158.5163661065913
119,18,20.087352318222923
120,22,75.39020671399776
121,33.0,5.373290483385545
122,33,131.4519420416785
123,33.0,20.046414138139056
124,36,30.64228545413416
125,44,117.846726797932
126,49,48.4851815400175
127,56.0,7.11245826593269
128,56.0,7.11245826593269
129,48,118.72716425943608
130,52.0,123.88604247184861
131,52.0,21.877351929292217
132,51,71.84029904808705
133,45.0,25.690000958994563
134,45,0.0
135,45,0.0
136,45.0,22.248242343466767
137,42.0,68.84755510214396
138,42.0,16.273056007943158
139,38,84.73285618437065
140,32,5.198839598570602
141,31.0,62.79116218777972
142,31,59.2468671391536
143,31.0,7.157654329559028
144,26,50.99981223548098
145,29,53.29381049579379
146,35,38.66906066267094
147,40.0,28.518472132544503
148,40,0.0
149,40,0.0
150,40.0,52.81155660062558
151,47.0,99.06929249515434
152,47.0,16.111956440165983
153,50,21.159120614380072
154,53,16.820866074741254
155,54,4.571992314594792
156,55.0,0.8018307215677185
157,55.0,39.905054042253546
158,60,53.421888172223234
159,65.0,95.96409727537595
160,65.0,11.469514706579943
161,81.0,113.7246883613905
162,81.0,0.0
163,80,35.008891151299714
164,73,49.78216954375027
165,92.0,16.1338365069599
166,92.0,120.32981706129864
167,99.0,28.138021125755163
168,99.0,23.694842708215592
169,118.0,123.54482643072369
170,118.0,119.56031896784849
171,140.0,208.68608009845894
172,140,73.13967363296797
